('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(207530, 1014, 'Compound', 666, '0387', 'Salt, block', None, None, '0040', 'Niacin, from tryptophan', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 19), None, None, Decimal('0E-9'), 'other', 0)
(207624, 1014, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0038', 'Niacin, total', Decimal('0E-9'), None, None, 'NE', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0E-9'), 'other', 0)
(207625, 1014, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0039', 'Niacin', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0E-9'), 'other', 0)
(207626, 1014, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0040', 'Niacin, from tryptophan', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0E-9'), 'other', 0)
(207702, 1014, 'Compound', 666, '0388', 'Salt, table', None, None, '0038', 'Niacin, total', Decimal('0E-9'), None, None, 'NE', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('0E-9'), 'other', 0)
(207703, 1014, 'Compound', 666, '0388', 'Salt, table', None, None, '0039', 'Niacin', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('0E-9'), 'other', 0)
(207704, 1014, 'Compound', 666, '0388', 'Salt, table', None, None, '0040', 'Niacin, from tryptophan', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('0E-9'), 'other', 0)
(241209, 1014, 'Compound', 666, '02047', 'Salt, table', None, None, '406', 'Niacin', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 16), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0E-9'), 'other', 0)
(1765765, 1014, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0E-9'), 'other', 1)
(1765766, 1014, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0E-9'), 'other', 1)
